,X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
X,1.0,0.4048079561003103,-0.04196849917528016,-0.057693812698425995,-0.050904104648275265,-0.00781694856653296,-0.03715685221061888,0.047653876130063874,0.01893394236787886,0.0945512924020091,0.04569995053606042
Y,0.4048079561003103,1.0,-0.0074508725567768415,0.0020112588170585885,-0.0771130519460612,-0.010534878967734144,-0.031027575469358235,0.03786894504305294,-0.0068363979433238055,0.07147711964961688,0.03708347084969856
FFMC,-0.04196849917528016,-0.0074508725567768415,1.0,0.3669858553251088,0.16851113936281287,0.6213185432306714,0.43756175376058787,-0.22498338942783536,-0.023525266369240783,0.0800617858138935,0.018176032785809718
DMC,-0.057693812698425995,0.0020112588170585885,0.3669858553251088,1.0,0.43710631393402566,0.2985409655301527,0.3550471184493324,0.021770012698541796,-0.07862140501198978,0.09792401830788634,0.05430663733875526
DC,-0.050904104648275265,-0.0771130519460612,0.16851113936281287,0.43710631393402566,1.0,0.06228673705813046,0.19323128929460645,0.01850844361714286,-0.14499991093019715,0.006733924353047125,0.044790546959060845
ISI,-0.00781694856653296,-0.010534878967734144,0.6213185432306714,0.2985409655301527,0.06228673705813046,1.0,0.29150923709434406,-0.12579032427555825,0.0963876841533481,0.09659891622042767,0.009148989396665157
temp,-0.03715685221061888,-0.031027575469358235,0.43756175376058787,0.3550471184493324,0.19323128929460645,0.29150923709434406,1.0,-0.38345836833888675,-0.12600587120922221,0.021358306861369532,0.057415059183155356
RH,0.047653876130063874,0.03786894504305294,-0.22498338942783536,0.021770012698541796,0.01850844361714286,-0.12579032427555825,-0.38345836833888675,1.0,0.024117640301198284,0.14858793765291758,-0.017796341321256164
wind,0.01893394236787886,-0.0068363979433238055,-0.023525266369240783,-0.07862140501198978,-0.14499991093019715,0.0963876841533481,-0.12600587120922221,0.024117640301198284,1.0,0.10179127453758957,0.03942315164119456
rain,0.0945512924020091,0.07147711964961688,0.0800617858138935,0.09792401830788634,0.006733924353047125,0.09659891622042767,0.021358306861369532,0.14858793765291758,0.10179127453758957,1.0,-0.05602791595011053
area,0.04569995053606042,0.03708347084969856,0.018176032785809718,0.05430663733875526,0.044790546959060845,0.009148989396665157,0.057415059183155356,-0.017796341321256164,0.03942315164119456,-0.05602791595011053,1.0

